date,state,fips,cases,newCases,deaths,newDeaths,tests,newTests,positive,newPositive,negative,newNegative
2021-03-18,US,00,29693243,60602,539203,1556,,,,,,
2021-03-19,US,00,29753990,60747,540717,1514,,,,,,
2021-03-20,US,00,29808476,54486,541489,772,,,,,,
2021-03-21,US,00,29842744,34268,541937,448,,,,,,
2021-03-22,US,00,29897467,54723,542585,648,,,,,,
2021-03-23,US,00,29954348,56881,543477,892,,,,,,
2021-03-24,US,00,30034250,79902,545067,1590,,,,,,
2021-03-25,US,00,30103562,69312,546337,1270,,,,,,
2021-03-26,US,00,30178214,74652,547597,1260,,,,,,
2021-03-27,US,00,30238960,60746,548377,780,,,,,,
2021-03-28,US,00,30283543,44583,548867,490,,,,,,
2021-03-29,US,00,30354484,70941,549552,685,,,,,,
2021-03-30,US,00,30416822,62338,550499,947,,,,,,
2021-03-31,US,00,30484890,68068,551633,1134,,,,,,
2021-04-01,US,00,30562166,77276,552590,957,,,,,,
2021-04-02,US,00,30630953,68787,553549,959,,,,,,
2021-04-03,US,00,30694938,63985,554302,753,,,,,,
2021-04-04,US,00,30731840,36902,554574,272,,,,,,
2021-04-05,US,00,30808695,76855,555104,530,,,,,,
2021-04-06,US,00,30870698,62003,556013,909,,,,,,
2021-04-07,US,00,30943676,72978,558578,2565,,,,,,
2021-04-08,US,00,31024354,80678,559580,1002,,,,,,
2021-04-09,US,00,31105794,81440,560525,945,,,,,,
2021-04-10,US,00,31170575,64781,561229,704,,,,,,
2021-04-11,US,00,31218641,48066,561530,301,,,,,,
2021-04-12,US,00,31291027,72386,562000,470,,,,,,
2021-04-13,US,00,31368478,77451,562983,983,,,,,,
2021-04-14,US,00,31444274,75796,563918,935,,,,,,
2021-04-15,US,00,31518021,73747,564835,917,,,,,,
2021-04-16,US,00,31596391,78370,565769,934,,,,,,
2021-04-17,US,00,31649287,52896,566446,677,,,,,,
2021-04-18,US,00,31690899,41612,566804,358,,,,,,
2021-04-19,US,00,31761236,70337,567287,483,,,,,,
2021-04-20,US,00,31820191,58955,568083,796,,,,,,
2021-01-13,Alabama,01,410995,3147,5760,187,2073591,9800,410995,3147,1662596,6653
2021-01-13,Alaska,02,50526,283,217,1,49203,406,49203,406,,0
2021-01-13,Arizona,04,643683,4944,10689,152,3166616,16622,641729,5629,2524887,10993
2021-01-13,Arkansas,05,262020,2467,4186,65,2268980,11564,262020,2467,2006960,9097
2021-01-13,California,06,2857958,41678,31653,548,2781039,33751,2781039,33751,,0
2021-01-13,Colorado,08,368775,2390,5354,28,2279001,9673,366774,2438,1912227,7235
2021-01-13,Connecticut,09,220576,3529,6536,87,220576,3529,220576,3529,,0
2021-01-13,Delaware,10,67173,727,994,3,543353,3620,67173,727,476180,2893
2021-01-13,District of Columbia,11,32600,177,831,6,32600,177,32600,177,,0
2021-01-13,Florida,12,1517464,13990,23395,169,9340336,52697,1490148,13664,7850188,39033
2021-01-13,Georgia,13,757993,8576,11435,138,782288,8596,782288,8596,,0
2021-01-13,Guam,66,8413,15,125,0,99819,316,7444,21,92375,295
2021-01-13,Hawaii,15,23663,93,309,3,24259,106,24259,106,,0
2021-01-13,Idaho,16,152560,1086,1576,13,593250,1813,151273,1034,441977,779
2021-01-13,Illinois,17,1048784,5743,19619,122,1046030,5862,1046030,5862,,0
2021-01-13,Indiana,18,577153,3648,9163,59,2779991,9834,574119,3642,2205872,6192
2021-01-13,Iowa,19,301161,1907,4232,10,1205222,3751,253307,1441,951915,2310
2021-01-13,Kansas,20,255200,4554,3355,100,1083932,17416,252041,4539,831891,12877
2021-01-13,Kentucky,21,316673,4357,3324,40,313282,4553,313282,4553,,0
2021-01-13,Louisiana,22,355835,2896,8022,51,4527858,19070,355835,2896,4172023,16174
2021-01-13,Maine,23,31150,824,453,4,31150,824,31150,824,,0
2021-01-13,Maryland,24,315055,2521,6404,37,2982429,11336,314867,2516,2667562,8820
2021-01-13,Massachusetts,25,448447,5918,13359,86,4286064,21435,448447,5918,3837617,15517
2021-01-13,Michigan,26,571638,3115,14325,39,573278,3128,573278,3128,,0
2021-01-13,Minnesota,27,440422,1487,5842,50,3121633,7638,440354,1487,2681279,6151
2021-01-13,Mississippi,28,243899,1942,5315,31,1466825,1942,243899,1942,1222926,0
2021-01-13,Missouri,29,459428,2450,6538,43,2131006,5867,429177,2060,1701829,3807
2021-01-13,Montana,30,87759,580,1069,2,87653,576,87653,576,,0
