date,county,state,fips,cases,newCases,deaths,newDeaths
2021-10-13,Albany,New York,36001,30119,84,380,0
2021-10-13,Allegany,New York,36003,4436,14,95,1
2021-10-13,Broome,New York,36007,23669,126,399,0
2021-10-13,Cattaraugus,New York,36009,7375,48,108,0
2021-10-13,Cayuga,New York,36011,8454,31,107,0
2021-10-13,Chautauqua,New York,36013,12126,39,168,1
2021-10-13,Chemung,New York,36015,10437,70,151,0
2021-10-13,Chenango,New York,36017,4543,27,86,0
2021-10-13,Clinton,New York,36019,6507,27,38,0
2021-10-13,Columbia,New York,36021,4920,11,111,0
2021-10-13,Cortland,New York,36023,5199,14,76,0
2021-10-13,Delaware,New York,36025,3436,19,44,0
2021-10-13,Dutchess,New York,36027,35177,83,496,0
2021-10-13,Erie,New York,36029,104339,300,1930,3
2021-10-13,Essex,New York,36031,2186,9,31,0
2021-10-13,Franklin,New York,36033,4081,15,20,1
2021-10-13,Fulton,New York,36035,6113,33,101,1
2021-10-13,Genesee,New York,36037,6764,36,132,0
2021-10-13,Greene,New York,36039,4280,12,85,0
2021-10-13,Hamilton,New York,36041,429,2,3,0
2021-10-13,Herkimer,New York,36043,6542,41,122,0
2021-10-13,Jefferson,New York,36045,8438,43,74,1
2021-10-13,Lewis,New York,36049,3487,23,38,0
2021-10-13,Livingston,New York,36051,5573,23,69,0
2021-10-13,Madison,New York,36053,5957,35,101,1
2021-10-13,Monroe,New York,36055,82481,222,1178,1
2021-10-13,Montgomery,New York,36057,5721,39,136,0
2021-10-13,Nassau,New York,36059,212560,264,3281,0
2021-10-13,New York City,New York,,1102649,1005,34434,32
2021-10-13,Niagara,New York,36063,23501,77,396,0
2021-10-13,Oneida,New York,36065,27923,86,577,1
2021-10-13,Onondaga,New York,36067,50426,195,749,3
2021-10-13,Ontario,New York,36069,9104,24,108,1
2021-10-13,Orange,New York,36071,56712,140,767,1
2021-10-13,Orleans,New York,36073,4185,37,86,0
2021-10-13,Oswego,New York,36075,11104,69,109,0
2021-10-13,Otsego,New York,36077,4448,14,52,0
2021-10-13,Putnam,New York,36079,12328,38,96,0
2021-10-13,Rensselaer,New York,36083,14398,40,165,2
2021-10-13,Rockland,New York,36087,52558,92,777,0
2021-10-13,Saratoga,New York,36091,19728,73,196,1
2021-10-13,Schenectady,New York,36093,16273,69,224,0
2021-10-13,Schoharie,New York,36095,2237,6,21,0
2021-10-13,Schuyler,New York,36097,1455,12,16,0
2021-10-13,Seneca,New York,36099,2683,8,62,0
2021-10-13,St. Lawrence,New York,36089,10041,70,123,1
2021-10-13,Steuben,New York,36101,9672,47,172,0
2021-10-13,Suffolk,New York,36103,236630,382,3574,2
2021-10-13,Sullivan,New York,36105,8266,25,83,0
2021-10-13,Tioga,New York,36107,4871,26,70,0
2021-10-13,Tompkins,New York,36109,6353,5,59,0
2021-10-13,Ulster,New York,36111,17043,38,276,0
2021-10-13,Warren,New York,36113,5245,40,81,0
2021-10-13,Washington,New York,36115,4427,44,65,0
2021-10-13,Wayne,New York,36117,7827,51,83,0
2021-10-13,Westchester,New York,36119,143014,89,2338,0
2021-10-13,Wyoming,New York,36121,4276,24,57,1
2021-10-13,Yates,New York,36123,1528,8,26,0
2021-10-14,Albany,New York,36001,30214,95,383,3
2021-10-14,Allegany,New York,36003,4460,24,95,0
2021-10-14,Broome,New York,36007,23788,119,400,1
2021-10-14,Cattaraugus,New York,36009,7411,36,109,1
2021-10-14,Cayuga,New York,36011,8480,26,107,0
2021-10-14,Chautauqua,New York,36013,12149,23,171,3
2021-10-14,Chemung,New York,36015,10505,68,152,1
2021-10-14,Chenango,New York,36017,4556,13,86,0
2021-10-14,Clinton,New York,36019,6530,23,38,0
2021-10-14,Columbia,New York,36021,4928,8,111,0
2021-10-14,Cortland,New York,36023,5220,21,77,1
2021-10-14,Delaware,New York,36025,3452,16,44,0
2021-10-14,Dutchess,New York,36027,35245,68,496,0
2021-10-14,Erie,New York,36029,104539,200,1931,1
2021-10-14,Essex,New York,36031,2194,8,31,0
2021-10-14,Franklin,New York,36033,4100,19,20,0
2021-10-14,Fulton,New York,36035,6141,28,102,1
2021-10-14,Genesee,New York,36037,6788,24,132,0
2021-10-14,Greene,New York,36039,4303,23,85,0
2021-10-14,Hamilton,New York,36041,430,1,3,0
2021-10-14,Herkimer,New York,36043,6571,29,122,0
2021-10-14,Jefferson,New York,36045,8495,57,74,0
2021-10-14,Lewis,New York,36049,3509,22,38,0
2021-10-14,Livingston,New York,36051,5591,18,71,2
2021-10-14,Madison,New York,36053,5994,37,101,0
2021-10-14,Monroe,New York,36055,82768,287,1178,0
2021-10-14,Montgomery,New York,36057,5760,39,137,1
2021-10-14,Nassau,New York,36059,212807,247,3284,3
2021-10-14,New York City,New York,,1103818,1169,34442,8
2021-10-14,Niagara,New York,36063,23560,59,397,1
2021-10-14,Oneida,New York,36065,27996,73,580,3
2021-10-14,Onondaga,New York,36067,50637,211,751,2
2021-10-14,Ontario,New York,36069,9124,20,110,2
2021-10-14,Orange,New York,36071,56816,104,767,0
2021-10-14,Orleans,New York,36073,4217,32,86,0
2021-10-14,Oswego,New York,36075,11173,69,109,0
2021-10-14,Otsego,New York,36077,4465,17,54,2
2021-10-14,Putnam,New York,36079,12358,30,96,0
2021-10-14,Rensselaer,New York,36083,14443,45,165,0
2021-10-14,Rockland,New York,36087,52635,77,777,0
2021-10-14,Saratoga,New York,36091,19803,75,196,0
2021-10-14,Schenectady,New York,36093,16324,51,224,0
