date,county,state,fips,cases,newCases,deaths,newDeaths
2022-04-15,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-15,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-15,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-15,Unknown,Northern Mariana Islands,,50,0,1,0
2022-04-16,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-16,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-16,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-16,Unknown,Northern Mariana Islands,,50,0,1,0
2022-04-17,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-17,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-17,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-17,Unknown,Northern Mariana Islands,,50,0,1,0
2022-04-18,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-18,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-18,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-18,Unknown,Northern Mariana Islands,,68,18,1,0
2022-04-19,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-19,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-19,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-19,Unknown,Northern Mariana Islands,,68,0,1,0
2022-04-20,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-20,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-20,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-20,Unknown,Northern Mariana Islands,,68,0,1,0
2022-04-21,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-21,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-21,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-21,Unknown,Northern Mariana Islands,,68,0,1,0
2022-04-22,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-22,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-22,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-22,Unknown,Northern Mariana Islands,,68,0,1,0
2022-04-23,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-23,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-23,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-23,Unknown,Northern Mariana Islands,,68,0,1,0
2022-04-24,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-24,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-24,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-24,Unknown,Northern Mariana Islands,,68,0,1,0
2022-04-25,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-25,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-25,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-25,Unknown,Northern Mariana Islands,,68,0,1,0
2022-04-26,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-26,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-26,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-26,Unknown,Northern Mariana Islands,,110,42,1,0
2022-04-27,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-27,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-27,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-27,Unknown,Northern Mariana Islands,,110,0,1,0
2022-04-28,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-28,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-28,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-28,Unknown,Northern Mariana Islands,,110,0,1,0
2022-04-29,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-29,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-29,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-29,Unknown,Northern Mariana Islands,,110,0,1,0
2022-04-30,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-04-30,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-04-30,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-04-30,Unknown,Northern Mariana Islands,,110,0,1,0
2022-05-01,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-05-01,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-05-01,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-05-01,Unknown,Northern Mariana Islands,,110,0,1,0
2022-05-02,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-05-02,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-05-02,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-05-02,Unknown,Northern Mariana Islands,,110,0,1,0
2022-05-03,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-05-03,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-05-03,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-05-03,Unknown,Northern Mariana Islands,,110,0,1,0
2022-05-04,Rota,Northern Mariana Islands,69100,415,0,0,0
2022-05-04,Saipan,Northern Mariana Islands,69110,10397,0,33,0
2022-05-04,Tinian,Northern Mariana Islands,69120,341,0,0,0
2022-05-04,Unknown,Northern Mariana Islands,,110,0,1,0
2022-05-05,Rota,Northern Mariana Islands,69100,415,0,0,0
