date,county,state,fips,cases,newCases,deaths,newDeaths
2021-08-04,Alamance,North Carolina,37001,19607,55,288,0
2021-08-04,Alexander,North Carolina,37003,4621,12,85,0
2021-08-04,Alleghany,North Carolina,37005,1112,1,5,0
2021-08-04,Anson,North Carolina,37007,2721,7,57,0
2021-08-04,Ashe,North Carolina,37009,2343,3,45,0
2021-08-04,Avery,North Carolina,37011,2197,0,21,0
2021-08-04,Beaufort,North Carolina,37013,4933,15,103,0
2021-08-04,Bertie,North Carolina,37015,1819,2,45,0
2021-08-04,Bladen,North Carolina,37017,3867,28,58,0
2021-08-04,Brunswick,North Carolina,37019,10139,66,162,1
2021-08-04,Buncombe,North Carolina,37021,19006,38,339,0
2021-08-04,Burke,North Carolina,37023,10563,28,164,0
2021-08-04,Cabarrus,North Carolina,37025,23587,83,269,1
2021-08-04,Caldwell,North Carolina,37027,9790,22,111,0
2021-08-04,Camden,North Carolina,37029,709,0,6,0
2021-08-04,Carteret,North Carolina,37031,5464,26,57,0
2021-08-04,Caswell,North Carolina,37033,2256,-4,30,0
2021-08-04,Catawba,North Carolina,37035,20573,44,311,0
2021-08-04,Chatham,North Carolina,37037,5034,21,89,0
2021-08-04,Cherokee,North Carolina,37039,2790,11,39,0
2021-08-04,Chowan,North Carolina,37041,1557,3,37,0
2021-08-04,Clay,North Carolina,37043,954,4,18,0
2021-08-04,Cleveland,North Carolina,37045,12348,40,231,1
2021-08-04,Columbus,North Carolina,37047,7069,52,161,0
2021-08-04,Craven,North Carolina,37049,9777,45,129,0
2021-08-04,Cumberland,North Carolina,37051,32898,111,338,2
2021-08-04,Currituck,North Carolina,37053,1672,9,16,0
2021-08-04,Dare,North Carolina,37055,2437,18,10,0
2021-08-04,Davidson,North Carolina,37057,17630,55,206,1
2021-08-04,Davie,North Carolina,37059,4375,16,43,0
2021-08-04,Duplin,North Carolina,37061,6884,41,144,1
2021-08-04,Durham,North Carolina,37063,26902,11,240,0
2021-08-04,Edgecombe,North Carolina,37065,5902,12,115,0
2021-08-04,Forsyth,North Carolina,37067,38303,101,432,0
2021-08-04,Franklin,North Carolina,37069,7254,17,55,0
2021-08-04,Gaston,North Carolina,37071,28230,89,447,1
2021-08-04,Gates,North Carolina,37073,765,1,13,0
2021-08-04,Graham,North Carolina,37075,731,3,13,0
2021-08-04,Granville,North Carolina,37077,6143,12,83,0
2021-08-04,Greene,North Carolina,37079,2527,8,48,0
2021-08-04,Guilford,North Carolina,37081,50335,99,734,0
2021-08-04,Halifax,North Carolina,37083,5867,9,116,0
2021-08-04,Harnett,North Carolina,37085,12913,50,185,1
2021-08-04,Haywood,North Carolina,37087,4784,30,100,0
2021-08-04,Henderson,North Carolina,37089,10811,23,165,0
2021-08-04,Hertford,North Carolina,37091,2146,6,64,0
2021-08-04,Hoke,North Carolina,37093,5282,28,56,0
2021-08-04,Hyde,North Carolina,37095,674,0,9,0
2021-08-04,Iredell,North Carolina,37097,20075,69,237,0
2021-08-04,Jackson,North Carolina,37099,3821,9,56,0
2021-08-04,Johnston,North Carolina,37101,23587,69,244,0
2021-08-04,Jones,North Carolina,37103,930,1,29,0
2021-08-04,Lee,North Carolina,37105,6529,28,83,0
2021-08-04,Lenoir,North Carolina,37107,6444,18,129,0
2021-08-04,Lincoln,North Carolina,37109,10791,40,86,0
2021-08-04,Macon,North Carolina,37113,3232,6,41,0
2021-08-04,Madison,North Carolina,37115,1687,3,43,0
2021-08-04,Martin,North Carolina,37117,2447,9,46,0
2021-08-04,McDowell,North Carolina,37111,5462,17,63,0
2021-08-04,Mecklenburg,North Carolina,37119,120955,462,995,1
2021-08-04,Mitchell,North Carolina,37121,1495,6,16,0
2021-08-04,Montgomery,North Carolina,37123,3478,5,97,0
2021-08-04,Moore,North Carolina,37125,9573,35,196,0
2021-08-04,Nash,North Carolina,37127,11943,15,202,0
2021-08-04,New Hanover,North Carolina,37129,20426,52,179,1
2021-08-04,Northampton,North Carolina,37131,1939,2,61,0
2021-08-04,Onslow,North Carolina,37133,19017,69,161,0
2021-08-04,Orange,North Carolina,37135,8879,16,101,0
2021-08-04,Pamlico,North Carolina,37137,1156,6,13,0
2021-08-04,Pasquotank,North Carolina,37139,3531,9,87,0
2021-08-04,Pender,North Carolina,37141,5947,9,69,0
2021-08-04,Perquimans,North Carolina,37143,1067,2,11,0
2021-08-04,Person,North Carolina,37145,3674,7,73,0
2021-08-04,Pitt,North Carolina,37147,21579,79,96,0
2021-08-04,Polk,North Carolina,37149,1567,5,31,0
2021-08-04,Randolph,North Carolina,37151,15855,32,237,1
2021-08-04,Richmond,North Carolina,37153,5244,17,105,3
2021-08-04,Robeson,North Carolina,37155,18298,128,283,0
2021-08-04,Rockingham,North Carolina,37157,8412,16,172,0
2021-08-04,Rowan,North Carolina,37159,17986,46,316,0
2021-08-04,Rutherford,North Carolina,37161,7803,18,223,1
2021-08-04,Sampson,North Carolina,37163,8500,27,115,1
2021-08-04,Scotland,North Carolina,37165,4166,22,91,2
2021-08-04,Stanly,North Carolina,37167,8271,38,138,0
2021-08-04,Stokes,North Carolina,37169,4444,15,81,0
2021-08-04,Surry,North Carolina,37171,8776,23,174,1
2021-08-04,Swain,North Carolina,37173,1271,9,18,0
2021-08-04,Transylvania,North Carolina,37175,2572,15,33,0
2021-08-04,Tyrrell,North Carolina,37177,342,0,6,0
2021-08-04,Union,North Carolina,37179,26166,98,229,0
2021-08-04,Vance,North Carolina,37181,5080,8,90,0
2021-08-04,Wake,North Carolina,37183,95111,354,755,0
2021-08-04,Warren,North Carolina,37185,1841,3,20,0
2021-08-04,Washington,North Carolina,37187,1154,1,32,0
2021-08-04,Watauga,North Carolina,37189,5110,10,33,0
2021-08-04,Wayne,North Carolina,37191,11989,14,245,0
2021-08-04,Wilkes,North Carolina,37193,7300,22,117,0
2021-08-04,Wilson,North Carolina,37195,10167,17,182,1
2021-08-04,Yadkin,North Carolina,37197,4347,15,56,0
2021-08-04,Yancey,North Carolina,37199,1768,15,28,0
2021-08-05,Alamance,North Carolina,37001,19649,42,288,0
2021-08-05,Alexander,North Carolina,37003,4634,13,85,0
2021-08-05,Alleghany,North Carolina,37005,1113,1,5,0
2021-08-05,Anson,North Carolina,37007,2731,10,57,0
2021-08-05,Ashe,North Carolina,37009,2350,7,45,0
2021-08-05,Avery,North Carolina,37011,2198,1,21,0
2021-08-05,Beaufort,North Carolina,37013,4943,10,103,0
2021-08-05,Bertie,North Carolina,37015,1827,8,45,0
2021-08-05,Bladen,North Carolina,37017,3900,33,59,1
2021-08-05,Brunswick,North Carolina,37019,10229,90,163,1
2021-08-05,Buncombe,North Carolina,37021,19129,123,339,0
2021-08-05,Burke,North Carolina,37023,10624,61,164,0
2021-08-05,Cabarrus,North Carolina,37025,23695,108,270,1
2021-08-05,Caldwell,North Carolina,37027,9812,22,111,0
2021-08-05,Camden,North Carolina,37029,709,0,6,0
2021-08-05,Carteret,North Carolina,37031,5485,21,57,0
2021-08-05,Caswell,North Carolina,37033,2266,10,30,0
2021-08-05,Catawba,North Carolina,37035,20612,39,311,0
2021-08-05,Chatham,North Carolina,37037,5065,31,89,0
2021-08-05,Cherokee,North Carolina,37039,2808,18,39,0
2021-08-05,Chowan,North Carolina,37041,1558,1,37,0
2021-08-05,Clay,North Carolina,37043,960,6,18,0
2021-08-05,Cleveland,North Carolina,37045,12405,57,231,0
2021-08-05,Columbus,North Carolina,37047,7145,76,161,0
2021-08-05,Craven,North Carolina,37049,9801,24,129,0
2021-08-05,Cumberland,North Carolina,37051,33053,155,339,1
2021-08-05,Currituck,North Carolina,37053,1680,8,16,0
2021-08-05,Dare,North Carolina,37055,2457,20,10,0
2021-08-05,Davidson,North Carolina,37057,17718,88,206,0
2021-08-05,Davie,North Carolina,37059,4400,25,43,0
2021-08-05,Duplin,North Carolina,37061,6928,44,144,0
2021-08-05,Durham,North Carolina,37063,27065,163,241,1
2021-08-05,Edgecombe,North Carolina,37065,5913,11,115,0
2021-08-05,Forsyth,North Carolina,37067,38426,123,432,0
2021-08-05,Franklin,North Carolina,37069,7286,32,55,0
2021-08-05,Gaston,North Carolina,37071,28322,92,447,0
2021-08-05,Gates,North Carolina,37073,769,4,13,0
2021-08-05,Graham,North Carolina,37075,736,5,13,0
2021-08-05,Granville,North Carolina,37077,6156,13,83,0
2021-08-05,Greene,North Carolina,37079,2534,7,48,0
