date,county,state,fips,cases,newCases,deaths,newDeaths
2021-05-30,Adair,Missouri,29001,2473,0,20,0
2021-05-30,Andrew,Missouri,29003,1873,0,20,0
2021-05-30,Atchison,Missouri,29005,457,0,6,0
2021-05-30,Audrain,Missouri,29007,2710,0,58,0
2021-05-30,Barry,Missouri,29009,2917,1,47,0
2021-05-30,Barton,Missouri,29011,1182,1,15,0
2021-05-30,Bates,Missouri,29013,1340,0,30,0
2021-05-30,Benton,Missouri,29015,1695,0,34,0
2021-05-30,Bollinger,Missouri,29017,1138,0,14,0
2021-05-30,Boone,Missouri,29019,18525,0,116,0
2021-05-30,Buchanan,Missouri,29021,10576,0,183,0
2021-05-30,Butler,Missouri,29023,4226,0,48,0
2021-05-30,Caldwell,Missouri,29025,810,0,14,0
2021-05-30,Callaway,Missouri,29027,5015,3,50,0
2021-05-30,Camden,Missouri,29029,4132,3,88,0
2021-05-30,Cape Girardeau,Missouri,29031,9560,0,134,0
2021-05-30,Carroll,Missouri,29033,1044,1,23,0
2021-05-30,Carter,Missouri,29035,543,0,11,0
2021-05-30,Cass,Missouri,29037,9268,3,113,0
2021-05-30,Cedar,Missouri,29039,1127,0,21,0
2021-05-30,Chariton,Missouri,29041,699,0,8,0
2021-05-30,Christian,Missouri,29043,9076,0,91,0
2021-05-30,Clark,Missouri,29045,678,0,7,0
2021-05-30,Clay,Missouri,29047,10166,0,168,0
2021-05-30,Clinton,Missouri,29049,1975,0,65,0
2021-05-30,Cole,Missouri,29051,9167,3,127,0
2021-05-30,Cooper,Missouri,29053,1929,0,27,0
2021-05-30,Crawford,Missouri,29055,2622,2,38,0
2021-05-30,Dade,Missouri,29057,738,0,31,0
2021-05-30,Dallas,Missouri,29059,1332,0,28,0
2021-05-30,Daviess,Missouri,29061,710,0,11,0
2021-05-30,DeKalb,Missouri,29063,1131,0,32,0
2021-05-30,Dent,Missouri,29065,999,2,17,0
2021-05-30,Douglas,Missouri,29067,950,1,29,0
2021-05-30,Dunklin,Missouri,29069,2903,0,50,0
2021-05-30,Franklin,Missouri,29071,10731,2,184,0
2021-05-30,Gasconade,Missouri,29073,1561,1,46,0
2021-05-30,Gentry,Missouri,29075,829,0,20,0
2021-05-30,Greene,Missouri,29077,29642,0,471,0
2021-05-30,Grundy,Missouri,29079,1033,5,34,0
2021-05-30,Harrison,Missouri,29081,885,0,14,0
2021-05-30,Henry,Missouri,29083,2033,2,40,0
2021-05-30,Hickory,Missouri,29085,654,0,15,0
2021-05-30,Holt,Missouri,29087,447,0,14,0
2021-05-30,Howard,Missouri,29089,1057,0,7,0
2021-05-30,Howell,Missouri,29091,3524,2,45,0
2021-05-30,Iron,Missouri,29093,914,0,7,0
2021-05-30,Jackson,Missouri,29095,38774,14,463,0
2021-05-30,Jasper,Missouri,29097,9539,3,129,0
2021-05-30,Jefferson,Missouri,29099,23513,9,248,0
2021-05-30,Johnson,Missouri,29101,4805,2,56,0
2021-05-30,Joplin,Missouri,,6154,5,108,0
2021-05-30,Kansas City,Missouri,,44577,16,587,0
2021-05-30,Knox,Missouri,29103,378,0,3,0
