date,county,state,fips,cases,newCases,deaths,newDeaths
2020-06-26,Atlantic,New Jersey,34001,2825,24,208,2
2020-06-26,Bergen,New Jersey,34003,19527,97,1981,2
2020-06-26,Burlington,New Jersey,34005,5130,8,414,0
2020-06-26,Camden,New Jersey,34007,7292,33,478,4
2020-06-26,Cape May,New Jersey,34009,710,2,68,1
2020-06-26,Cumberland,New Jersey,34011,2937,8,140,2
2020-06-26,Essex,New Jersey,34013,18903,29,2015,4
2020-06-26,Gloucester,New Jersey,34015,2538,13,180,0
2020-06-26,Hudson,New Jersey,34017,18959,13,1445,1
2020-06-26,Hunterdon,New Jersey,34019,1120,0,122,0
2020-06-26,Mercer,New Jersey,34021,7659,26,577,4
2020-06-26,Middlesex,New Jersey,34023,16885,18,1310,3
2020-06-26,Monmouth,New Jersey,34025,9150,27,802,5
2020-06-26,Morris,New Jersey,34027,6844,13,792,3
2020-06-26,Ocean,New Jersey,34029,9603,27,940,4
2020-06-26,Passaic,New Jersey,34031,16991,24,1177,4
2020-06-26,Salem,New Jersey,34033,758,3,72,1
2020-06-26,Somerset,New Jersey,34035,4912,3,524,0
2020-06-26,Sussex,New Jersey,34037,1222,2,191,0
2020-06-26,Union,New Jersey,34039,16536,22,1323,2
2020-06-26,Unknown,New Jersey,,701,-5,0,0
2020-06-26,Warren,New Jersey,34041,1236,1,155,0
2020-06-27,Atlantic,New Jersey,34001,2836,11,211,3
2020-06-27,Bergen,New Jersey,34003,19538,11,1983,2
2020-06-27,Burlington,New Jersey,34005,5163,33,416,2
2020-06-27,Camden,New Jersey,34007,7325,33,480,2
2020-06-27,Cape May,New Jersey,34009,709,-1,68,0
2020-06-27,Cumberland,New Jersey,34011,2948,11,141,1
2020-06-27,Essex,New Jersey,34013,18933,30,2018,3
2020-06-27,Gloucester,New Jersey,34015,2554,16,180,0
2020-06-27,Hudson,New Jersey,34017,18985,26,1448,3
2020-06-27,Hunterdon,New Jersey,34019,1120,0,122,0
2020-06-27,Mercer,New Jersey,34021,7657,-2,578,1
2020-06-27,Middlesex,New Jersey,34023,16924,39,1317,7
2020-06-27,Monmouth,New Jersey,34025,9175,25,803,1
2020-06-27,Morris,New Jersey,34027,6861,17,793,1
2020-06-27,Ocean,New Jersey,34029,9613,10,941,1
2020-06-27,Passaic,New Jersey,34031,17016,25,1180,3
2020-06-27,Salem,New Jersey,34033,759,1,74,2
2020-06-27,Somerset,New Jersey,34035,4922,10,524,0
2020-06-27,Sussex,New Jersey,34037,1221,-1,191,0
2020-06-27,Union,New Jersey,34039,16533,-3,1324,1
2020-06-27,Unknown,New Jersey,,697,-4,0,0
2020-06-27,Warren,New Jersey,34041,1238,2,156,1
2020-06-28,Atlantic,New Jersey,34001,2853,17,211,0
2020-06-28,Bergen,New Jersey,34003,19617,79,1983,0
2020-06-28,Burlington,New Jersey,34005,5174,11,419,3
2020-06-28,Camden,New Jersey,34007,7331,6,483,3
2020-06-28,Cape May,New Jersey,34009,736,27,68,0
2020-06-28,Cumberland,New Jersey,34011,2954,6,141,0
2020-06-28,Essex,New Jersey,34013,18953,20,2021,3
2020-06-28,Gloucester,New Jersey,34015,2564,10,181,1
2020-06-28,Hudson,New Jersey,34017,19005,20,1449,1
2020-06-28,Hunterdon,New Jersey,34019,1129,9,123,1
2020-06-28,Mercer,New Jersey,34021,7664,7,578,0
2020-06-28,Middlesex,New Jersey,34023,16964,40,1318,1
2020-06-28,Monmouth,New Jersey,34025,9201,26,805,2
2020-06-28,Morris,New Jersey,34027,6876,15,795,2
2020-06-28,Ocean,New Jersey,34029,9638,25,944,3
2020-06-28,Passaic,New Jersey,34031,17015,-1,1181,1
2020-06-28,Salem,New Jersey,34033,760,1,75,1
2020-06-28,Somerset,New Jersey,34035,4938,16,527,3
2020-06-28,Sussex,New Jersey,34037,1226,5,192,1
2020-06-28,Union,New Jersey,34039,16548,15,1325,1
2020-06-28,Unknown,New Jersey,,651,-46,0,0
2020-06-28,Warren,New Jersey,34041,1239,1,156,0
2020-06-29,Atlantic,New Jersey,34001,2859,6,214,3
2020-06-29,Bergen,New Jersey,34003,19638,21,1985,2
2020-06-29,Burlington,New Jersey,34005,5180,6,421,2
2020-06-29,Camden,New Jersey,34007,7344,13,485,2
2020-06-29,Cape May,New Jersey,34009,716,-20,68,0
2020-06-29,Cumberland,New Jersey,34011,2958,4,141,0
2020-06-29,Essex,New Jersey,34013,18968,15,2021,0
2020-06-29,Gloucester,New Jersey,34015,2570,6,182,1
2020-06-29,Hudson,New Jersey,34017,19009,4,1449,0
2020-06-29,Hunterdon,New Jersey,34019,1131,2,123,0
2020-06-29,Mercer,New Jersey,34021,7672,8,578,0
2020-06-29,Middlesex,New Jersey,34023,16964,0,1319,1
2020-06-29,Monmouth,New Jersey,34025,9203,2,805,0
2020-06-29,Morris,New Jersey,34027,6881,5,796,1
2020-06-29,Ocean,New Jersey,34029,9643,5,946,2
2020-06-29,Passaic,New Jersey,34031,17024,9,1183,2
2020-06-29,Salem,New Jersey,34033,766,6,75,0
2020-06-29,Somerset,New Jersey,34035,4939,1,528,1
2020-06-29,Sussex,New Jersey,34037,1227,1,192,0
2020-06-29,Union,New Jersey,34039,16557,9,1325,0
2020-06-29,Unknown,New Jersey,,636,-15,0,0
2020-06-29,Warren,New Jersey,34041,1241,2,156,0
2020-06-30,Atlantic,New Jersey,34001,2877,18,216,2
2020-06-30,Bergen,New Jersey,34003,19686,48,1989,4
2020-06-30,Burlington,New Jersey,34005,5206,26,424,3
2020-06-30,Camden,New Jersey,34007,7364,20,489,4
2020-06-30,Cape May,New Jersey,34009,744,28,73,5
2020-06-30,Cumberland,New Jersey,34011,2975,17,143,2
2020-06-30,Essex,New Jersey,34013,18995,27,2021,0
2020-06-30,Gloucester,New Jersey,34015,2585,15,182,0
2020-06-30,Hudson,New Jersey,34017,19012,3,1451,2
2020-06-30,Hunterdon,New Jersey,34019,1135,4,124,1
2020-06-30,Mercer,New Jersey,34021,7697,25,577,-1
2020-06-30,Middlesex,New Jersey,34023,17016,52,1322,3
2020-06-30,Monmouth,New Jersey,34025,9233,30,807,2
2020-06-30,Morris,New Jersey,34027,6884,3,798,2
2020-06-30,Ocean,New Jersey,34029,9682,39,955,9
2020-06-30,Passaic,New Jersey,34031,17027,3,1186,3
2020-06-30,Salem,New Jersey,34033,772,6,75,0
2020-06-30,Somerset,New Jersey,34035,4950,11,528,0
2020-06-30,Sussex,New Jersey,34037,1229,2,191,-1
2020-06-30,Union,New Jersey,34039,16566,9,1326,1
2020-06-30,Unknown,New Jersey,,642,6,0,0
2020-06-30,Warren,New Jersey,34041,1244,3,158,2
2020-07-01,Atlantic,New Jersey,34001,2892,15,216,0
2020-07-01,Bergen,New Jersey,34003,19708,22,1996,7
2020-07-01,Burlington,New Jersey,34005,5227,21,428,4
2020-07-01,Camden,New Jersey,34007,7415,51,493,4
2020-07-01,Cape May,New Jersey,34009,716,-28,73,0
2020-07-01,Cumberland,New Jersey,34011,2992,17,145,2
2020-07-01,Essex,New Jersey,34013,19008,13,2024,3
2020-07-01,Gloucester,New Jersey,34015,2603,18,182,0
2020-07-01,Hudson,New Jersey,34017,19013,1,1457,6
2020-07-01,Hunterdon,New Jersey,34019,1136,1,124,0
2020-07-01,Mercer,New Jersey,34021,7714,17,579,2
2020-07-01,Middlesex,New Jersey,34023,17025,9,1324,2
2020-07-01,Monmouth,New Jersey,34025,9256,23,808,1
2020-07-01,Morris,New Jersey,34027,6903,19,799,1
2020-07-01,Ocean,New Jersey,34029,9695,13,959,4
2020-07-01,Passaic,New Jersey,34031,17042,15,1187,1
2020-07-01,Salem,New Jersey,34033,782,10,75,0
2020-07-01,Somerset,New Jersey,34035,4962,12,528,0
2020-07-01,Sussex,New Jersey,34037,1234,5,193,2
2020-07-01,Union,New Jersey,34039,16564,-2,1329,3
2020-07-01,Unknown,New Jersey,,643,1,0,0
2020-07-01,Warren,New Jersey,34041,1252,8,159,1
2020-07-02,Atlantic,New Jersey,34001,2912,20,219,3
2020-07-02,Bergen,New Jersey,34003,19735,27,1994,-2
2020-07-02,Burlington,New Jersey,34005,5259,32,429,1
2020-07-02,Camden,New Jersey,34007,7457,42,503,10
2020-07-02,Cape May,New Jersey,34009,717,1,73,0
2020-07-02,Cumberland,New Jersey,34011,3004,12,146,1
2020-07-02,Essex,New Jersey,34013,19045,37,2030,6
2020-07-02,Gloucester,New Jersey,34015,2617,14,182,0
2020-07-02,Hudson,New Jersey,34017,19041,28,1454,-3
2020-07-02,Hunterdon,New Jersey,34019,1138,2,124,0
2020-07-02,Mercer,New Jersey,34021,7736,22,585,6
2020-07-02,Middlesex,New Jersey,34023,17048,23,1323,-1
2020-07-02,Monmouth,New Jersey,34025,9307,51,814,6
2020-07-02,Morris,New Jersey,34027,6924,21,801,2
