date,county,state,fips,cases,newCases,deaths,newDeaths
2021-07-23,Barbour,West Virginia,54001,1522,0,34,0
2021-07-23,Berkeley,West Virginia,54003,12980,11,137,0
2021-07-23,Boone,West Virginia,54005,2190,2,36,0
2021-07-23,Braxton,West Virginia,54007,1035,0,4,0
2021-07-23,Brooke,West Virginia,54009,2257,2,60,0
2021-07-23,Cabell,West Virginia,54011,9011,14,179,1
2021-07-23,Calhoun,West Virginia,54013,400,1,1,0
2021-07-23,Clay,West Virginia,54015,544,0,11,0
2021-07-23,Doddridge,West Virginia,54017,649,1,6,0
2021-07-23,Fayette,West Virginia,54019,3600,15,82,0
2021-07-23,Gilmer,West Virginia,54021,891,0,7,0
2021-07-23,Grant,West Virginia,54023,1322,1,29,1
2021-07-23,Greenbrier,West Virginia,54025,2919,3,65,0
2021-07-23,Hampshire,West Virginia,54027,1935,0,36,0
2021-07-23,Hancock,West Virginia,54029,2860,0,90,0
2021-07-23,Hardy,West Virginia,54031,1588,0,24,0
2021-07-23,Harrison,West Virginia,54033,6281,11,82,0
2021-07-23,Jackson,West Virginia,54035,2283,3,62,0
2021-07-23,Jefferson,West Virginia,54037,4829,5,60,0
2021-07-23,Kanawha,West Virginia,54039,15594,8,361,0
2021-07-23,Lewis,West Virginia,54041,1325,1,22,0
2021-07-23,Lincoln,West Virginia,54043,1613,1,25,0
2021-07-23,Logan,West Virginia,54045,3318,2,96,0
2021-07-23,Marion,West Virginia,54049,4707,8,54,0
2021-07-23,Marshall,West Virginia,54051,3565,3,79,0
2021-07-23,Mason,West Virginia,54053,2094,2,37,0
2021-07-23,McDowell,West Virginia,54047,1656,1,27,0
2021-07-23,Mercer,West Virginia,54055,5248,10,129,0
2021-07-23,Mineral,West Virginia,54057,3006,1,92,0
2021-07-23,Mingo,West Virginia,54059,2797,2,44,0
2021-07-23,Monongalia,West Virginia,54061,9464,12,92,0
2021-07-23,Monroe,West Virginia,54063,1229,0,18,0
2021-07-23,Morgan,West Virginia,54065,1256,0,23,0
2021-07-23,Nicholas,West Virginia,54067,1936,1,24,0
2021-07-23,Ohio,West Virginia,54069,4340,8,87,0
2021-07-23,Pendleton,West Virginia,54071,726,0,11,0
2021-07-23,Pleasants,West Virginia,54073,961,1,12,0
2021-07-23,Pocahontas,West Virginia,54075,683,1,12,0
2021-07-23,Preston,West Virginia,54077,2971,-1,47,0
2021-07-23,Putnam,West Virginia,54079,5415,13,93,0
2021-07-23,Raleigh,West Virginia,54081,7141,5,101,0
2021-07-23,Randolph,West Virginia,54083,2879,7,15,0
2021-07-23,Ritchie,West Virginia,54085,768,0,11,0
2021-07-23,Roane,West Virginia,54087,670,1,9,0
2021-07-23,Summers,West Virginia,54089,869,1,22,0
2021-07-23,Taylor,West Virginia,54091,1304,-1,25,0
2021-07-23,Tucker,West Virginia,54093,549,0,10,0
2021-07-23,Tyler,West Virginia,54095,754,0,13,0
2021-07-23,Upshur,West Virginia,54097,2011,4,34,0
2021-07-23,Wayne,West Virginia,54099,3206,2,44,0
2021-07-23,Webster,West Virginia,54101,588,1,8,0
2021-07-23,Wetzel,West Virginia,54103,1405,2,32,0
2021-07-23,Wirt,West Virginia,54105,468,-1,4,0
2021-07-23,Wood,West Virginia,54107,8005,12,177,0
2021-07-23,Wyoming,West Virginia,54109,2085,2,41,0
2021-07-24,Barbour,West Virginia,54001,1522,0,34,0
2021-07-24,Berkeley,West Virginia,54003,12980,0,137,0
2021-07-24,Boone,West Virginia,54005,2190,0,36,0
2021-07-24,Braxton,West Virginia,54007,1035,0,4,0
2021-07-24,Brooke,West Virginia,54009,2257,0,60,0
2021-07-24,Cabell,West Virginia,54011,9011,0,179,0
2021-07-24,Calhoun,West Virginia,54013,400,0,1,0
2021-07-24,Clay,West Virginia,54015,544,0,11,0
2021-07-24,Doddridge,West Virginia,54017,649,0,6,0
2021-07-24,Fayette,West Virginia,54019,3600,0,82,0
2021-07-24,Gilmer,West Virginia,54021,891,0,7,0
2021-07-24,Grant,West Virginia,54023,1322,0,29,0
2021-07-24,Greenbrier,West Virginia,54025,2919,0,65,0
2021-07-24,Hampshire,West Virginia,54027,1935,0,36,0
2021-07-24,Hancock,West Virginia,54029,2860,0,90,0
2021-07-24,Hardy,West Virginia,54031,1588,0,24,0
2021-07-24,Harrison,West Virginia,54033,6281,0,82,0
2021-07-24,Jackson,West Virginia,54035,2283,0,62,0
2021-07-24,Jefferson,West Virginia,54037,4829,0,60,0
2021-07-24,Kanawha,West Virginia,54039,15594,0,361,0
2021-07-24,Lewis,West Virginia,54041,1325,0,22,0
2021-07-24,Lincoln,West Virginia,54043,1613,0,25,0
2021-07-24,Logan,West Virginia,54045,3318,0,96,0
2021-07-24,Marion,West Virginia,54049,4707,0,54,0
2021-07-24,Marshall,West Virginia,54051,3565,0,79,0
2021-07-24,Mason,West Virginia,54053,2094,0,37,0
2021-07-24,McDowell,West Virginia,54047,1656,0,27,0
2021-07-24,Mercer,West Virginia,54055,5248,0,129,0
2021-07-24,Mineral,West Virginia,54057,3006,0,92,0
2021-07-24,Mingo,West Virginia,54059,2797,0,44,0
2021-07-24,Monongalia,West Virginia,54061,9464,0,92,0
