date,county,state,fips,cases,newCases,deaths,newDeaths
2021-09-26,Baker,Oregon,41001,1805,0,24,0
2021-09-26,Benton,Oregon,41003,4742,0,28,0
2021-09-26,Clackamas,Oregon,41005,27185,0,275,0
2021-09-26,Clatsop,Oregon,41007,2175,0,26,0
2021-09-26,Columbia,Oregon,41009,3335,0,39,0
2021-09-26,Coos,Oregon,41011,4362,0,72,0
2021-09-26,Crook,Oregon,41013,2206,0,39,0
2021-09-26,Curry,Oregon,41015,1686,0,17,0
2021-09-26,Deschutes,Oregon,41017,17215,0,104,0
2021-09-26,Douglas,Oregon,41019,10969,0,202,0
2021-09-26,Gilliam,Oregon,41021,140,0,4,0
2021-09-26,Grant,Oregon,41023,867,0,8,0
2021-09-26,Harney,Oregon,41025,883,0,18,0
2021-09-26,Hood River,Oregon,41027,1658,0,35,0
2021-09-26,Jackson,Oregon,41029,21336,0,267,0
2021-09-26,Jefferson,Oregon,41031,3257,0,47,0
2021-09-26,Josephine,Oregon,41033,8772,0,173,0
2021-09-26,Klamath,Oregon,41035,6664,0,93,0
2021-09-26,Lake,Oregon,41037,741,0,8,0
2021-09-26,Lane,Oregon,41039,24597,0,256,0
2021-09-26,Lincoln,Oregon,41041,2834,0,30,0
2021-09-26,Linn,Oregon,41043,10834,0,88,0
2021-09-26,Malheur,Oregon,41045,4946,0,67,0
2021-09-26,Marion,Oregon,41047,33366,0,399,0
2021-09-26,Morrow,Oregon,41049,1707,0,21,0
2021-09-26,Multnomah,Oregon,41051,52083,0,644,0
2021-09-26,Polk,Oregon,41053,6421,0,72,0
2021-09-26,Sherman,Oregon,41055,133,0,3,0
2021-09-26,Tillamook,Oregon,41057,1851,0,23,0
2021-09-26,Umatilla,Oregon,41059,13006,0,129,0
2021-09-26,Union,Oregon,41061,2809,0,38,0
2021-09-26,Wallowa,Oregon,41063,540,0,12,0
2021-09-26,Wasco,Oregon,41065,2481,0,39,0
2021-09-26,Washington,Oregon,41067,35615,0,280,0
2021-09-26,Wheeler,Oregon,41069,65,0,1,0
2021-09-26,Yamhill,Oregon,41071,7704,0,101,0
2021-09-27,Baker,Oregon,41001,1831,26,24,0
2021-09-27,Benton,Oregon,41003,4795,53,30,2
2021-09-27,Clackamas,Oregon,41005,27506,321,277,2
2021-09-27,Clatsop,Oregon,41007,2260,85,26,0
2021-09-27,Columbia,Oregon,41009,3390,55,39,0
2021-09-27,Coos,Oregon,41011,4397,35,72,0
2021-09-27,Crook,Oregon,41013,2249,43,39,0
2021-09-27,Curry,Oregon,41015,1692,6,17,0
2021-09-27,Deschutes,Oregon,41017,17521,306,104,0
2021-09-27,Douglas,Oregon,41019,11044,75,207,5
2021-09-27,Gilliam,Oregon,41021,140,0,4,0
2021-09-27,Grant,Oregon,41023,889,22,9,1
2021-09-27,Harney,Oregon,41025,905,22,18,0
2021-09-27,Hood River,Oregon,41027,1672,14,35,0
2021-09-27,Jackson,Oregon,41029,21483,147,271,4
2021-09-27,Jefferson,Oregon,41031,3297,40,48,1
2021-09-27,Josephine,Oregon,41033,8843,71,175,2
2021-09-27,Klamath,Oregon,41035,6696,32,95,2
2021-09-27,Lake,Oregon,41037,751,10,8,0
2021-09-27,Lane,Oregon,41039,24978,381,256,0
2021-09-27,Lincoln,Oregon,41041,2868,34,30,0
2021-09-27,Linn,Oregon,41043,11053,219,90,2
2021-09-27,Malheur,Oregon,41045,4987,41,69,2
2021-09-27,Marion,Oregon,41047,33757,391,401,2
2021-09-27,Morrow,Oregon,41049,1712,5,21,0
2021-09-27,Multnomah,Oregon,41051,52543,460,645,1
2021-09-27,Polk,Oregon,41053,6442,21,72,0
2021-09-27,Sherman,Oregon,41055,133,0,3,0
2021-09-27,Tillamook,Oregon,41057,1861,10,23,0
2021-09-27,Umatilla,Oregon,41059,13107,101,129,0
2021-09-27,Union,Oregon,41061,2877,68,38,0
2021-09-27,Wallowa,Oregon,41063,558,18,12,0
2021-09-27,Wasco,Oregon,41065,2501,20,39,0
2021-09-27,Washington,Oregon,41067,35987,372,280,0
2021-09-27,Wheeler,Oregon,41069,65,0,1,0
2021-09-27,Yamhill,Oregon,41071,7781,77,102,1
2021-09-28,Baker,Oregon,41001,1846,15,24,0
2021-09-28,Benton,Oregon,41003,4815,20,30,0
2021-09-28,Clackamas,Oregon,41005,27591,85,277,0
2021-09-28,Clatsop,Oregon,41007,2269,9,26,0
2021-09-28,Columbia,Oregon,41009,3405,15,39,0
2021-09-28,Coos,Oregon,41011,4462,65,76,4
2021-09-28,Crook,Oregon,41013,2272,23,39,0
2021-09-28,Curry,Oregon,41015,1703,11,18,1
2021-09-28,Deschutes,Oregon,41017,17623,102,104,0
2021-09-28,Douglas,Oregon,41019,11123,79,210,3
2021-09-28,Gilliam,Oregon,41021,141,1,4,0
2021-09-28,Grant,Oregon,41023,896,7,9,0
2021-09-28,Harney,Oregon,41025,932,27,21,3
2021-09-28,Hood River,Oregon,41027,1689,17,35,0
2021-09-28,Jackson,Oregon,41029,21541,58,276,5
2021-09-28,Jefferson,Oregon,41031,3323,26,49,1
2021-09-28,Josephine,Oregon,41033,8872,29,177,2
2021-09-28,Klamath,Oregon,41035,6805,109,97,2
2021-09-28,Lake,Oregon,41037,772,21,8,0
2021-09-28,Lane,Oregon,41039,25118,140,261,5
2021-09-28,Lincoln,Oregon,41041,2878,10,30,0
2021-09-28,Linn,Oregon,41043,11121,68,91,1
2021-09-28,Malheur,Oregon,41045,5045,58,69,0
2021-09-28,Marion,Oregon,41047,33873,116,406,5
2021-09-28,Morrow,Oregon,41049,1716,4,22,1
2021-09-28,Multnomah,Oregon,41051,52638,95,648,3
2021-09-28,Polk,Oregon,41053,6476,34,73,1
2021-09-28,Sherman,Oregon,41055,133,0,3,0
2021-09-28,Tillamook,Oregon,41057,1865,4,23,0
2021-09-28,Umatilla,Oregon,41059,13275,168,129,0
2021-09-28,Union,Oregon,41061,2886,9,39,1
2021-09-28,Wallowa,Oregon,41063,560,2,12,0
2021-09-28,Wasco,Oregon,41065,2527,26,39,0
2021-09-28,Washington,Oregon,41067,36083,96,281,1
2021-09-28,Wheeler,Oregon,41069,65,0,1,0
2021-09-28,Yamhill,Oregon,41071,7852,71,104,2
2021-09-29,Baker,Oregon,41001,1870,24,25,1
2021-09-29,Benton,Oregon,41003,4856,41,30,0
2021-09-29,Clackamas,Oregon,41005,27721,130,277,0
2021-09-29,Clatsop,Oregon,41007,2275,6,27,1
2021-09-29,Columbia,Oregon,41009,3429,24,39,0
2021-09-29,Coos,Oregon,41011,4511,49,76,0
2021-09-29,Crook,Oregon,41013,2296,24,39,0
2021-09-29,Curry,Oregon,41015,1713,10,18,0
2021-09-29,Deschutes,Oregon,41017,17827,204,104,0
2021-09-29,Douglas,Oregon,41019,11176,53,215,5
2021-09-29,Gilliam,Oregon,41021,142,1,4,0
2021-09-29,Grant,Oregon,41023,897,1,10,1
2021-09-29,Harney,Oregon,41025,946,14,22,1
2021-09-29,Hood River,Oregon,41027,1700,11,36,1
2021-09-29,Jackson,Oregon,41029,21675,134,276,0
2021-09-29,Jefferson,Oregon,41031,3361,38,49,0
2021-09-29,Josephine,Oregon,41033,8887,15,177,0
2021-09-29,Klamath,Oregon,41035,6853,48,97,0
2021-09-29,Lake,Oregon,41037,782,10,8,0
2021-09-29,Lane,Oregon,41039,25216,98,265,4
2021-09-29,Lincoln,Oregon,41041,2924,46,30,0
2021-09-29,Linn,Oregon,41043,11211,90,94,3
2021-09-29,Malheur,Oregon,41045,5077,32,70,1
2021-09-29,Marion,Oregon,41047,34089,216,406,0
2021-09-29,Morrow,Oregon,41049,1726,10,22,0
2021-09-29,Multnomah,Oregon,41051,52822,184,649,1
2021-09-29,Polk,Oregon,41053,6573,97,74,1
2021-09-29,Sherman,Oregon,41055,134,1,3,0
2021-09-29,Tillamook,Oregon,41057,1872,7,24,1
2021-09-29,Umatilla,Oregon,41059,13356,81,129,0
2021-09-29,Union,Oregon,41061,2918,32,39,0
2021-09-29,Wallowa,Oregon,41063,571,11,12,0
2021-09-29,Wasco,Oregon,41065,2553,26,39,0
2021-09-29,Washington,Oregon,41067,36261,178,281,0
2021-09-29,Wheeler,Oregon,41069,65,0,1,0
