date,county,state,fips,cases,newCases,deaths,newDeaths
2021-12-03,Bristol,Rhode Island,44001,6630,0,150,0
2021-12-03,Kent,Rhode Island,44003,24643,0,403,0
2021-12-03,Newport,Rhode Island,44005,9557,0,54,0
2021-12-03,Providence,Rhode Island,44007,122481,0,2129,0
2021-12-03,Unknown,Rhode Island,,15926,1144,24,2
2021-12-03,Washington,Rhode Island,44009,15621,0,181,0
2021-12-04,Bristol,Rhode Island,44001,6630,0,150,0
2021-12-04,Kent,Rhode Island,44003,24643,0,403,0
2021-12-04,Newport,Rhode Island,44005,9557,0,54,0
2021-12-04,Providence,Rhode Island,44007,122481,0,2129,0
2021-12-04,Unknown,Rhode Island,,15926,0,24,0
2021-12-04,Washington,Rhode Island,44009,15621,0,181,0
2021-12-05,Bristol,Rhode Island,44001,6630,0,150,0
2021-12-05,Kent,Rhode Island,44003,24643,0,403,0
2021-12-05,Newport,Rhode Island,44005,9557,0,54,0
2021-12-05,Providence,Rhode Island,44007,122481,0,2129,0
2021-12-05,Unknown,Rhode Island,,15926,0,24,0
2021-12-05,Washington,Rhode Island,44009,15621,0,181,0
2021-12-06,Bristol,Rhode Island,44001,6630,0,150,0
2021-12-06,Kent,Rhode Island,44003,24643,0,403,0
2021-12-06,Newport,Rhode Island,44005,9557,0,54,0
2021-12-06,Providence,Rhode Island,44007,122481,0,2129,0
2021-12-06,Unknown,Rhode Island,,18017,2091,31,7
2021-12-06,Washington,Rhode Island,44009,15621,0,181,0
2021-12-07,Bristol,Rhode Island,44001,6630,0,150,0
2021-12-07,Kent,Rhode Island,44003,24643,0,403,0
2021-12-07,Newport,Rhode Island,44005,9557,0,54,0
2021-12-07,Providence,Rhode Island,44007,122481,0,2129,0
2021-12-07,Unknown,Rhode Island,,19104,1087,32,1
2021-12-07,Washington,Rhode Island,44009,15621,0,181,0
2021-12-08,Bristol,Rhode Island,44001,6630,0,150,0
2021-12-08,Kent,Rhode Island,44003,24643,0,403,0
2021-12-08,Newport,Rhode Island,44005,9557,0,54,0
2021-12-08,Providence,Rhode Island,44007,122481,0,2129,0
2021-12-08,Unknown,Rhode Island,,19797,693,32,0
2021-12-08,Washington,Rhode Island,44009,15621,0,181,0
2021-12-09,Bristol,Rhode Island,44001,6832,202,152,2
2021-12-09,Kent,Rhode Island,44003,25600,957,407,4
2021-12-09,Newport,Rhode Island,44005,9921,364,55,1
2021-12-09,Providence,Rhode Island,44007,125753,3272,2141,12
2021-12-09,Unknown,Rhode Island,,15798,-3999,13,-19
2021-12-09,Washington,Rhode Island,44009,16293,672,183,2
2021-12-10,Bristol,Rhode Island,44001,6832,0,152,0
2021-12-10,Kent,Rhode Island,44003,25600,0,407,0
2021-12-10,Newport,Rhode Island,44005,9921,0,55,0
2021-12-10,Providence,Rhode Island,44007,125753,0,2141,0
2021-12-10,Unknown,Rhode Island,,16876,1078,19,6
2021-12-10,Washington,Rhode Island,44009,16293,0,183,0
2021-12-11,Bristol,Rhode Island,44001,6832,0,152,0
2021-12-11,Kent,Rhode Island,44003,25600,0,407,0
2021-12-11,Newport,Rhode Island,44005,9921,0,55,0
2021-12-11,Providence,Rhode Island,44007,125753,0,2141,0
2021-12-11,Unknown,Rhode Island,,16876,0,19,0
2021-12-11,Washington,Rhode Island,44009,16293,0,183,0
2021-12-12,Bristol,Rhode Island,44001,6832,0,152,0
2021-12-12,Kent,Rhode Island,44003,25600,0,407,0
2021-12-12,Newport,Rhode Island,44005,9921,0,55,0
2021-12-12,Providence,Rhode Island,44007,125753,0,2141,0
2021-12-12,Unknown,Rhode Island,,16876,0,19,0
2021-12-12,Washington,Rhode Island,44009,16293,0,183,0
2021-12-13,Bristol,Rhode Island,44001,6832,0,152,0
2021-12-13,Kent,Rhode Island,44003,25600,0,407,0
2021-12-13,Newport,Rhode Island,44005,9921,0,55,0
2021-12-13,Providence,Rhode Island,44007,125753,0,2141,0
2021-12-13,Unknown,Rhode Island,,19309,2433,31,12
2021-12-13,Washington,Rhode Island,44009,16293,0,183,0
2021-12-14,Bristol,Rhode Island,44001,6832,0,152,0
2021-12-14,Kent,Rhode Island,44003,25600,0,407,0
2021-12-14,Newport,Rhode Island,44005,9921,0,55,0
2021-12-14,Providence,Rhode Island,44007,125753,0,2141,0
2021-12-14,Unknown,Rhode Island,,20555,1246,37,6
2021-12-14,Washington,Rhode Island,44009,16293,0,183,0
2021-12-15,Bristol,Rhode Island,44001,6832,0,152,0
2021-12-15,Kent,Rhode Island,44003,25600,0,407,0
2021-12-15,Newport,Rhode Island,44005,9921,0,55,0
2021-12-15,Providence,Rhode Island,44007,125753,0,2141,0
2021-12-15,Unknown,Rhode Island,,21958,1403,42,5
2021-12-15,Washington,Rhode Island,44009,16293,0,183,0
2021-12-16,Bristol,Rhode Island,44001,7050,218,152,0
2021-12-16,Kent,Rhode Island,44003,26724,1124,408,1
2021-12-16,Newport,Rhode Island,44005,10347,426,56,1
2021-12-16,Providence,Rhode Island,44007,129229,3476,2156,15
2021-12-16,Unknown,Rhode Island,,17188,-4770,25,-17
2021-12-16,Washington,Rhode Island,44009,17018,725,188,5
2021-12-17,Bristol,Rhode Island,44001,7050,0,152,0
2021-12-17,Kent,Rhode Island,44003,26724,0,408,0
2021-12-17,Newport,Rhode Island,44005,10347,0,56,0
2021-12-17,Providence,Rhode Island,44007,129229,0,2156,0
