date,county,state,fips,cases,newCases,deaths,newDeaths
2020-03-08,Fairfield,Connecticut,09001,1,1,0,0
2020-03-09,Fairfield,Connecticut,09001,2,1,0,0
2020-03-10,Fairfield,Connecticut,09001,2,0,0,0
2020-03-11,Fairfield,Connecticut,09001,3,1,0,0
2020-03-12,Fairfield,Connecticut,09001,5,2,0,0
2020-03-12,Litchfield,Connecticut,09005,1,1,0,0
2020-03-13,Fairfield,Connecticut,09001,8,3,0,0
2020-03-13,Litchfield,Connecticut,09005,3,2,0,0
2020-03-14,Fairfield,Connecticut,09001,15,7,0,0
2020-03-14,Hartford,Connecticut,09003,1,1,0,0
2020-03-14,Litchfield,Connecticut,09005,3,0,0,0
2020-03-14,New Haven,Connecticut,09009,1,1,0,0
2020-03-15,Fairfield,Connecticut,09001,16,1,0,0
2020-03-15,Hartford,Connecticut,09003,3,2,0,0
2020-03-15,Litchfield,Connecticut,09005,4,1,0,0
2020-03-15,New Haven,Connecticut,09009,3,2,0,0
2020-03-16,Fairfield,Connecticut,09001,29,13,0,0
2020-03-16,Hartford,Connecticut,09003,4,1,0,0
2020-03-16,Litchfield,Connecticut,09005,4,0,0,0
2020-03-16,New Haven,Connecticut,09009,4,1,0,0
2020-03-17,Fairfield,Connecticut,09001,48,19,0,0
2020-03-17,Hartford,Connecticut,09003,7,3,0,0
2020-03-17,Litchfield,Connecticut,09005,5,1,0,0
2020-03-17,New Haven,Connecticut,09009,8,4,0,0
2020-03-18,Fairfield,Connecticut,09001,69,21,1,1
2020-03-18,Hartford,Connecticut,09003,11,4,0,0
2020-03-18,Litchfield,Connecticut,09005,5,0,0,0
2020-03-18,Middlesex,Connecticut,09007,1,1,0,0
2020-03-18,New Haven,Connecticut,09009,10,2,0,0
2020-03-19,Fairfield,Connecticut,09001,102,33,4,3
2020-03-19,Hartford,Connecticut,09003,18,7,0,0
2020-03-19,Litchfield,Connecticut,09005,7,2,0,0
2020-03-19,Middlesex,Connecticut,09007,3,2,0,0
2020-03-19,New Haven,Connecticut,09009,24,14,0,0
2020-03-19,Tolland,Connecticut,09013,4,4,0,0
2020-03-19,Windham,Connecticut,09015,1,1,0,0
2020-03-20,Fairfield,Connecticut,09001,122,20,4,0
2020-03-20,Hartford,Connecticut,09003,29,11,0,0
2020-03-20,Litchfield,Connecticut,09005,8,1,0,0
2020-03-20,Middlesex,Connecticut,09007,5,2,0,0
2020-03-20,New Haven,Connecticut,09009,24,0,0,0
2020-03-20,New London,Connecticut,09011,1,1,0,0
2020-03-20,Tolland,Connecticut,09013,4,0,0,0
2020-03-20,Windham,Connecticut,09015,1,0,0,0
2020-03-21,Fairfield,Connecticut,09001,140,18,4,0
2020-03-21,Hartford,Connecticut,09003,35,6,0,0
2020-03-21,Litchfield,Connecticut,09005,11,3,0,0
2020-03-21,Middlesex,Connecticut,09007,6,1,0,0
2020-03-21,New Haven,Connecticut,09009,24,0,0,0
2020-03-21,New London,Connecticut,09011,1,0,0,0
2020-03-21,Tolland,Connecticut,09013,5,1,1,1
2020-03-21,Windham,Connecticut,09015,1,0,0,0
2020-03-22,Fairfield,Connecticut,09001,208,68,5,1
2020-03-22,Hartford,Connecticut,09003,54,19,1,1
2020-03-22,Litchfield,Connecticut,09005,12,1,0,0
2020-03-22,Middlesex,Connecticut,09007,6,0,0,0
2020-03-22,New Haven,Connecticut,09009,29,5,0,0
2020-03-22,New London,Connecticut,09011,3,2,0,0
2020-03-22,Tolland,Connecticut,09013,14,9,2,1
2020-03-22,Windham,Connecticut,09015,1,0,0,0
2020-03-23,Fairfield,Connecticut,09001,270,62,6,1
2020-03-23,Hartford,Connecticut,09003,61,7,2,1
2020-03-23,Litchfield,Connecticut,09005,13,1,0,0
2020-03-23,Middlesex,Connecticut,09007,8,2,0,0
2020-03-23,New Haven,Connecticut,09009,41,12,0,0
2020-03-23,New London,Connecticut,09011,4,1,0,0
2020-03-23,Tolland,Connecticut,09013,16,2,2,0
2020-03-23,Windham,Connecticut,09015,2,1,0,0
2020-03-24,Fairfield,Connecticut,09001,384,114,7,1
2020-03-24,Hartford,Connecticut,09003,88,27,2,0
2020-03-24,Litchfield,Connecticut,09005,22,9,0,0
2020-03-24,Middlesex,Connecticut,09007,8,0,0,0
2020-03-24,New Haven,Connecticut,09009,89,48,0,0
2020-03-24,New London,Connecticut,09011,6,2,0,0
2020-03-24,Tolland,Connecticut,09013,19,3,3,1
2020-03-24,Windham,Connecticut,09015,2,0,0,0
2020-03-25,Fairfield,Connecticut,09001,546,162,12,5
2020-03-25,Hartford,Connecticut,09003,116,28,2,0
2020-03-25,Litchfield,Connecticut,09005,33,11,0,0
2020-03-25,Middlesex,Connecticut,09007,15,7,0,0
2020-03-25,New Haven,Connecticut,09009,127,38,2,2
2020-03-25,New London,Connecticut,09011,9,3,0,0
2020-03-25,Tolland,Connecticut,09013,27,8,3,0
2020-03-25,Windham,Connecticut,09015,2,0,0,0
2020-03-26,Fairfield,Connecticut,09001,607,61,13,1
